Name,Speed,Stamina,Strength,Aggression,Creativity,Luck,Focus,Influence,Refelxes,Phobia,Vice,Role,Personality,Class,Affinity
Skyscraper Ozanne,8,8,4,5,3,6,8,8,9,Screeching,Parachutes,Superfan,Modest,Die-hard,Mind
Maverick Thompson,7,9,8,5,8,6,8,8,8,Concerts,Swimming Pools,Player,Sage,Support,Body
Astounded James,3,6,6,5,6,9,8,5,1,Hot Tubs,Bio-diesel,Player,Romantic,Hype,Soul
Koko Brassard,10,10,10,1,3,7,9,9,4,Affairs,Cat Food,Player,Modest,Investigator,Body
Cornelius Stumble,9,5,5,2,8,7,10,2,5,Eggs,Sci-Fi,Player,Focused,General,Mind
Collywobbles Philtrum,1,3,1,1,2,5,10,10,7,Rain,Memes,Staff,Compassionate,Masseuse,Mind
Mrs. Flammia,9,2,9,6,7,9,9,3,6,Caviar,Antibiotics,Player,Placid,General,Soul
Robert Flores,7,4,7,6,8,6,7,8,5,The 80s,Wetness,Player,Modest,Consistency,Mind
Melodic Hellbender,8,10,8,2,5,4,6,4,8,Public Bathrooms,Attics,Staff,Appreciative,Investigative journalist,None
King Prunella,6,4,10,5,2,5,6,3,2,Sleep,Custom Vans,Staff,Humorous,Columnist,Body
Kobe Price,9,7,8,6,9,6,3,6,1,Submarines,Cars,Player,Idealistic,Hype,None
Helena James,8,6,8,4,7,4,3,2,4,Vegans,Grannies,Superfan,Modest,Fair-weather,None
Rhoderick Backsplash,2,8,4,2,3,5,4,7,7,Riptides,Butterflies,Superfan,Stoic,Pessimist,None
Rocky Tokei,7,6,7,9,5,7,4,2,5,Mirrors,Pogs,Staff,Placid,Analyst,Soul
Samantha Cilantro,2,3,6,2,7,6,1,1,4,Horses,Halloween,Superfan,Passionate,Hardcore,Soul
Zayd Pounder,2,7,4,6,9,5,4,1,4,Kilts,Mushrooms,Management,Passionate,Head Coach,Soul
Glasshouse Johnson,1,7,2,3,9,7,5,10,8,Truck Drivers,Haircuts,Superfan,Passionate,Pessimist,Mind
Rafael Ramos,3,3,2,5,6,10,9,9,5,Scissors,Freedom,Superfan,Appreciative,Gambler,Mind
Shirley Hernandez,6,9,6,8,5,7,4,9,7,Cuttlery,Guns,Player,Wise,Hype,Soul
Ingrid Gutierrez,2,5,1,8,4,6,9,5,9,Alarm clocks,Facepaint,Staff,Sage,Social media intern,Mind
Halo LOL,8,4,3,5,1,3,4,5,8,Heights,Horseracing,Player,Compassionate,Consistency,None
Cosmo Cowardly,9,8,10,3,5,1,3,2,8,Magpies,Horseracing,Staff,Stoic,Contract negotiater,Body
Biggums The Not So Great,8,9,6,2,5,4,2,1,5,Crying,Watches,Superfan,Wise,Gambler,Soul
Zayd Bloviate,9,9,7,8,6,6,9,9,9,Plastic,Laxatives,Staff,Sage,Kit Manager,Mind
Jennifer Phillips,7,6,7,5,4,8,10,7,8,Highways,Porn,Player,Stoic,General,Body
Blade Swedge,9,6,7,7,6,3,2,4,2,Opium,Frost,Superfan,Innovative,There for the booze,None
Mundane Flinch,6,2,2,10,9,5,1,2,7,Milk,Presidents,Staff,Sage,Clickbaiter,None
Obodas Beauregard,5,5,5,5,5,4,8,6,8,Flying,Forced Entry,Superfan,Compassionate,Full kit wanker,Mind
Koko Skidmark,6,1,7,10,7,4,7,8,5,Plants,TSA Agents,Staff,Innovative,Yoga instructor,None
Peregrine Cellier,5,3,9,8,8,2,8,4,7,Scaffolding,Bees,Superfan,Sage,Fair-weather,Body
Avi Victory,4,4,7,6,9,9,9,7,6,Toilet Paper,Torture,Superfan,Sage,There for the booze,Mind
Carol Taint,5,3,3,1,5,3,10,9,3,Gin,Pancakes,Player,Confident,General,Mind
Detective Caparasso,9,5,4,9,10,6,4,7,5,Soap,Tipping,Superfan,Humorous,There for the booze,None
Von Gimmefood Armpit,5,10,1,9,7,3,4,3,2,Tomato Juice,Tequila,Superfan,Sage,There for the booze,Soul
Crabwalk Victory,9,8,5,5,7,4,9,10,9,Basilisks,Air Conditioning,Player,Appreciative,General,Mind
Bigbite XII,9,6,9,6,6,7,6,9,8,Cuttlery,Birth,Staff,Appreciative,Doctor,Mind
Zane Hullaballoo,6,9,9,2,3,6,8,8,10,Candles,Candles,Superfan,Passionate,Die-hard,None
Ruth Phantom,3,4,6,4,1,5,10,6,2,Bright Lights,Birth,Player,Sage,Support,Mind
Any Armistice ,7,5,10,4,2,1,1,7,8,SIlence,Buses,Staff,Stoic,Masseuse,Body
Pretty New-Roman,4,7,7,7,4,5,8,5,8,Heights,Cigars,Player,Focused,General,Mind
Kobe Prunella,2,3,2,8,2,6,3,7,8,Toilet Paper,Darts,Superfan,Placid,Die-hard,Mind
Kitten Garg,2,8,6,4,6,3,6,3,6,Prosthetic Limbs,Sitcoms,Superfan,Wise,There for the booze,Body
Adalbert Bagpipes,7,5,3,6,2,7,8,9,8,Mercury in Retrograde,Ants,Player,Focused,Consistency,Mind
Sunny-Dee Alluminium,6,8,7,3,9,2,4,6,8,Door Stops,Peanut butter,Superfan,Stoic,Barstool,Body
Shivers Jones,3,1,2,9,3,10,10,6,8,Aging,Butterflies,Player,Modest,Hype,None
Splash Kuàng,5,7,2,5,10,9,7,4,10,News,Craft Beer,Player,Romantic,Hype,Mind
Peregrine Smith,3,3,9,8,10,5,3,9,7,Prosthetic Limbs,Frost,Superfan,Wise,There for the booze,Mind
Emma Pluto,5,4,8,3,5,3,6,6,4,Pigeons,Facepaint,Superfan,Idealistic,Pessimist,None
Body The Not So Great,9,9,10,4,5,10,4,2,3,Touch,Sister-in-Laws,Player,Placid,Support,Body
Tweetly Soap,2,2,4,8,9,7,4,3,3,Milk,Memes,Staff,Modest,Contract negotiater,Soul
Timepiece Bigly,2,5,1,5,7,8,5,4,7,Office Environments,Venus,Player,Modest,Consistency,Mind
Melodic Caprisun,7,4,5,10,9,10,5,8,5,Credit cards,Glasses,Staff,Wise,Groundskeeper,Soul
Client Oyatsu,8,9,1,2,9,6,10,2,9,Relatives,Weapons,Player,Innovative,Closer,Body
Wolf Lafitte,6,5,1,7,8,7,7,6,4,Travel,Fan Mail,Superfan,Humorous,Die-hard,Mind
Sadio Cocque,3,3,4,8,6,6,6,5,4,Bricks,The Mafia,Player,Confident,Support,None
Jerry van der Beek,5,4,3,1,6,8,9,7,9,Mouse Traps,Ants,Staff,Modest,Waterperson,Mind
Kai Suitcases,9,10,5,7,5,2,1,7,4,Swimming,Swimming Pools,Player,Humorous,Support,None
Zayd Moore,9,7,10,9,10,8,9,4,5,McDonald's,Pilots,Superfan,Wise,There for the booze,None
Brantley Moon,8,9,10,9,9,10,8,8,7,Cheese,Lanterns,Superfan,Idealistic,Fair-weather,Soul
Mundane Cough,5,4,5,2,4,9,6,4,2,Sour Candy,Diet Soda,Player,Stoic,Investigator,Soul
Ahma Huffer,10,8,9,9,2,3,1,1,6,Groundhogs,Charities,Superfan,Humorous,Hardcore,Body
Darth Ramos,7,9,2,7,10,7,7,5,5,Blankets,Emojis,Superfan,Placid,Die-hard,Soul
wagmi Rogers,8,4,4,9,9,6,7,1,3,VR Technology,Dyslexia,Staff,Humorous,Groundskeeper,Soul
Nikita Kuàng,6,6,6,1,4,3,7,6,10,Soap,Bracelets,Staff,Wise,Columnist,Mind
Adalbert Periscope,2,9,9,7,1,2,5,1,4,The 80s,Carpets,Staff,Stoic,Scout,Body
Elizabeth Morgan,6,3,4,4,8,3,8,6,6,The 80s,Poker,Superfan,Sage,Corporate guest,Mind
Kimberly Li,8,7,10,6,1,1,10,1,7,Diet Soda,Flies,Staff,Passionate,Data Analyst,None
Tiger The Small,6,9,8,3,1,6,6,2,7,Rain,Sci-Fi,Player,Confident,Hype,None
Amanda Tuna,2,5,2,6,3,8,5,8,9,Relatives,90s Rock,Superfan,Modest,Pessimist,Mind
Magic Handsome,5,5,4,8,8,6,6,7,6,Nail Salons,Paychecks,Player,Idealistic,Investigator,Mind
William Frown,8,9,6,8,9,7,8,7,5,New York,Children,Superfan,Sage,Pessimist,None
Hana Hill,7,2,5,1,3,9,5,10,4,Improv Comedy,Folk Dance,Superfan,Innovative,Gambler,None
Foster Autocue,5,4,10,5,2,2,8,6,4,Magnetism,The Void,Staff,Innovative,Brand manager,Body
Linda Ladder,4,4,7,9,9,8,4,3,4,Flying,Dumbells,Superfan,Focused,Hardcore,Soul
Sunny-Dee Nabopolassar,9,8,10,5,7,10,1,1,2,The Moon,Eclipses,Superfan,Confident,Gambler,Soul
Buddy Sweeper,3,2,4,9,9,8,9,9,8,Numbers,Public Speaking,Staff,Appreciative,Physio,Mind
Lathan Hullaballoo,8,10,4,3,6,2,1,7,4,Kangroos,Lanterns,Player,Stoic,Consistency,Body
Timepiece Unit,8,9,2,9,7,4,4,6,2,Screeching,Night Driving,Player,Idealistic,General,Soul
Understanding Jaws,6,3,8,3,5,9,6,6,8,Snow,Depth,Superfan,Romantic,There for the booze,None
Nil Barrere,9,5,9,5,5,3,8,10,4,Dogs,Clocks,Management,Innovative,Director,Body
Snow Colon,1,10,1,2,6,9,3,5,9,Boogers,Greeting Cards,Player,Compassionate,Investigator,None
Dennis Hanlon,2,6,5,1,9,9,4,6,5,Reading,Pyramids,Superfan,Innovative,There for the booze,None
Christopher Yates,5,9,8,7,9,7,10,5,5,Sunglasses,Clouds,Superfan,Appreciative,Optimist,Soul
Genesis Tuna,8,2,3,10,5,9,6,6,7,Radiohead,Racecars,Superfan,Confident,Fair-weather,Soul
Bobby Blade,5,7,6,8,4,6,3,3,7,Coffee Beans,Dyslexia,Superfan,Wise,Hardcore,Mind
Siobhan Lopez,4,2,9,6,9,4,7,1,3,NFTs,Hot chips,Superfan,Modest,Fair-weather,Soul
Priscilla Jones,3,4,9,10,6,3,5,9,7,Parasites,Cheese,Staff,Passionate,Doctor,Mind
Dorothy Reyes,6,9,6,2,1,2,7,4,4,Shoe laces,Antibiotics,Staff,Compassionate,Waterperson,Body
Brantley Soap,5,4,7,9,6,10,6,5,4,Basements,Gym,Player,Innovative,Consistency,Soul
Vince McKneese,6,9,8,8,8,10,7,5,8,Numbers,Public Speaking,Player,Humorous,Investigator,Soul
Sir. Three Eyes Garg,3,1,4,4,8,3,3,5,8,Crows,England,Superfan,Passionate,There for the booze,Mind
Andrea Morgan,2,3,5,4,8,7,9,8,9,VR Technology,Gym,Superfan,Modest,Full kit wanker,None
Cattywampus Reyes,3,6,5,6,9,5,3,3,3,Gambling,Children,Superfan,Romantic,There for the booze,Soul
Clandestine Slayer,9,3,8,4,8,9,8,5,3,Cracks,Diet Soda,Superfan,Focused,Fair-weather,Soul
Kylen Jessup,6,7,7,1,2,6,8,9,4,Subtitles,Public Speaking,Player,Romantic,Hype,Body
Rayne Forehead-Greives,6,7,10,3,2,5,2,1,2,Dogs,Dracula,Player,Appreciative,Hype,None
Body Nguyen,8,10,8,3,2,4,5,7,4,Sleep,Toy Phones,Player,Idealistic,Consistency,None
Wolf McKneese,7,5,8,6,2,2,7,4,8,Supermarkets,Hope,Player,Romantic,Investigator,Mind
Wael van der Beek,10,3,9,5,4,4,3,2,7,Scissors,Cognac,Player,Wise,General,Soul
Moon Aristotle,4,8,7,7,6,7,2,8,8,Commitment,Pencil Sharpeners,Player,Innovative,Support,Body
Bishop Collywobbles,8,9,10,7,8,7,8,8,9,Moustaches,TSA Agents,Superfan,Placid,Pessimist,Body
Stumble Bellamy,7,2,1,6,2,5,4,9,6,Vegans,Pyramids,Player,Romantic,Support,Mind
Jennifer Glazing,7,10,8,4,4,1,4,4,8,Champagne,Bracelets,Superfan,Romantic,Fair-weather,Body
Rachel Snuggles,8,6,5,9,8,8,8,2,7,Diet Soda,The Void,Superfan,Modest,Full kit wanker,Soul
Arson Hall,3,8,9,5,7,9,2,1,2,Fish,Boardgames,Staff,Confident,Sponsorship director,Soul
Hullaballoo Mikan,2,9,4,5,7,1,5,3,2,Showers,Watches,Staff,Stoic,Zookeeper,Body
Constant McKneese,7,2,4,8,5,6,9,8,8,Salt,Burritos,Staff,Focused,Analyst,Mind
Client Brassard,8,1,2,2,7,1,9,6,10,Electrocution,Shoe horns,Player,Idealistic,Support,Mind
Terrential Bajwa,3,4,3,7,4,1,6,3,10,Opium,Catapults,Player,Stoic,Closer,Mind
Brandon Chassis,10,1,7,9,8,7,1,4,4,Pianos,Diabetes,Superfan,Innovative,Die-hard,Soul
Bishti Envy,8,8,9,8,7,7,10,7,8,Elves,Parachutes,Player,Humorous,Support,Body
Flinch Reyes,8,8,9,4,5,6,8,6,10,Glass,Pajamas,Superfan,Humorous,Full kit wanker,Body
Charles Torres,9,8,7,5,4,4,8,8,5,Earthquakes,Caffeine,Staff,Idealistic,Social media intern,Body
Andrea O'Callaghan,4,3,1,2,10,4,4,9,6,Prosthetic Limbs,Restaurants,Superfan,Innovative,Barstool,Mind
Forrest Walker,7,9,4,4,7,2,8,7,9,Manual Transmissions,Reality TV,Player,Passionate,General,Mind
Seymour Mitchell,2,3,4,4,9,10,6,3,5,Bad Vibes,Punctuality,Superfan,Wise,Scarf Guy,None
Brian Fishery,3,7,6,6,5,3,7,6,3,Touch,Huffing,Superfan,Stoic,Gambler,Body
Clandestine Squirrel,8,5,3,6,10,10,1,1,8,Fast food,Fungi,Player,Innovative,General,Soul
Nova Wood,4,9,2,7,8,6,6,4,9,Trains,Choking,Player,Idealistic,Investigator,Mind
Paul Black,4,8,9,3,2,3,4,4,5,Buttons,Billboards,Staff,Stoic,Yoga instructor,Body
Silverback Perez,8,7,4,8,9,7,5,7,4,Snakes,Mythology,Superfan,Placid,Barstool,Soul
Listen Linda Dodecahedron,5,4,4,8,8,7,6,5,1,Jeans,Pajamas,Staff,Sage,Investigative journalist,Soul
Matthew Quantum,3,4,3,3,6,8,7,9,6,Duct Tape,Scotland,Staff,Wise,Social media intern,Mind
Brandon Shinobi,2,7,2,5,9,4,2,2,3,Fast food,Brazil,Superfan,Sage,Die-hard,Soul
Zayd Moore,3,1,5,9,10,8,7,8,8,The Letter 'S',Frost,Superfan,Appreciative,There for the booze,Mind
Zayd Kelly,8,4,5,7,6,9,9,8,4,Tomato Juice,Cat Food,Staff,Innovative,Doctor,Soul
Kadek O'Yacklebrunt,5,6,5,9,8,9,4,8,6,Religion,Turkish Markets,Management,Stoic,Director,Soul
Bazooka Kuàng,9,2,3,2,10,2,7,9,3,Homeopathy,Samurai Art,Superfan,Stoic,Full kit wanker,Mind
Ledger Winter,9,3,9,1,2,7,6,10,8,Fog,Argon,Staff,Innovative,Doctor,None
Bishti Braun,5,1,4,8,2,8,7,9,9,Aging,Cute Animals,Player,Stoic,Support,Mind
Rhoderick Glazing,5,9,5,2,4,5,7,7,3,Lids,Dentists,Superfan,Compassionate,Die-hard,Body
Baby Smithsonian,8,7,9,7,9,10,9,5,5,Ambulances,Gravel,Player,Romantic,Hype,Soul
Friederike Disco,7,5,6,6,5,4,7,8,8,Sneezes,Bracelets,Player,Sage,Hype,Mind
Pet Hayfever,9,10,6,8,9,7,5,9,6,Sprinting,Staplers,Superfan,Sage,Gambler,Soul
Bishti White,8,5,4,10,6,7,9,6,10,Snow,Beanbags,Staff,Stoic,Ball handler,Mind
Phlegm Ramos,10,7,8,3,6,5,7,4,8,Basilisks,Diabetes,Player,Confident,Consistency,None
Brenda Biggums,9,10,6,6,3,3,3,7,5,Protein Powder,Hope,Staff,Sage,Marketing manager,Body
Marina Hamilcar,2,5,7,8,10,7,5,4,8,Mercury in Retrograde,Choking,Superfan,Humorous,There for the booze,Soul
Splash Wigglebottom,3,10,5,5,3,7,3,10,3,Flying,Presidents,Superfan,Stoic,Barstool,Body
Davian Hinode,5,2,3,3,10,7,4,10,3,Chains,Swimming Pools,Staff,Idealistic,Clickbaiter,Mind
Rodd Taint,2,3,2,3,3,7,8,2,7,Midnight,White wine,Superfan,Stoic,There for the booze,Mind
Helvetica Bear,2,9,7,10,4,8,5,2,5,Improv Comedy,Gym,Player,Confident,Hype,Soul
Joshua Ladder,10,7,3,9,10,8,5,1,2,Exotic Dancers,Folk Dance,Player,Confident,Investigator,None
Shanice Gonzales,10,4,8,9,8,8,5,5,4,Gin,Pizza,Staff,Appreciative,Zookeeper,Soul
Anthony wagmi,7,8,6,2,4,2,8,2,5,Touch,Guns,Player,Focused,General,Body
Eleanor Portfolio,6,8,4,10,6,6,10,7,9,Snow,Buffets,Superfan,Focused,Hardcore,Mind
Galactic Space Explorer Palomer,7,6,9,9,10,8,4,4,8,Gravel,Depth,Superfan,Appreciative,Full kit wanker,Soul
Pretty Drawbridge,7,9,6,7,4,5,6,9,8,Pasta,Beards,Player,Wise,Support,Body
Tanya Nincompoop,7,4,5,10,8,5,6,4,4,Pimples,Mice,Staff,Appreciative,Data Analyst,Soul
Any Slayer,9,6,9,6,1,5,7,9,6,Moustaches,Sand Pipers,Staff,Innovative,Investigative journalist,Body
Pop-Three Mendoza,1,1,7,5,2,7,9,7,9,Mirrors,Huffing,Superfan,Passionate,There for the booze,Mind
Understanding Triceratops,5,6,6,6,9,8,3,8,9,Success,Tree Sap,Superfan,Sage,Die-hard,Mind
Brandon Whippersnapper,3,2,1,2,7,9,4,9,9,T-shirts,Clouds,Staff,Humorous,Mascot,Mind
Sunshine James,9,9,4,8,9,7,10,8,4,Wood,Jean shorts,Staff,Stoic,Investigative journalist,Mind
Von Gimmefood Johnson,7,5,5,9,9,3,5,10,3,Flying,1AM,Player,Focused,Support,Body
Chance gm,8,8,9,7,7,6,9,8,7,Basements,Prison breaks,Staff,Passionate,Yoga instructor,Body
Nincompoop Beaverclown,3,3,8,5,3,7,3,5,5,Door Stops,Kangaroos,Player,Passionate,Closer,Soul
Pidgeon Kobayashi,5,6,2,7,10,6,6,7,5,Meteor Showers,Bees,Superfan,Passionate,There for the booze,Mind
Alien Fisk,3,4,3,7,9,7,3,7,6,Touch,Sitcoms,Player,Innovative,General,Mind
Patrick Palomer,4,5,7,10,6,6,10,1,4,Gravel,Bad Speling,Superfan,Humorous,Hardcore,Mind
Jacob Nabopolassar,4,3,10,9,5,8,2,4,6,Gravel,Commercialism,Player,Sage,General,Soul
Achilles Bhatt,7,9,7,2,2,2,9,8,8,Socks,Eclipses,Staff,Romantic,Scout,Body
Van Winkle Pedigrue,9,5,8,4,3,2,1,2,3,Alarm clocks,Laxatives,Staff,Compassionate,Player liaison officer,None
Catherine Axelrod,6,9,1,3,5,2,7,8,10,Snakes,Meditating,Player,Wise,General,Mind
One Hernandez,8,6,9,7,6,4,4,7,6,Children,Oreos,Management,Placid,Assistant Coach,Soul
Larry Victory,4,1,3,8,9,7,6,2,6,Candles,Grandfather,Superfan,Focused,Pessimist,Soul
Sadio Pedigrue,5,7,4,9,10,7,2,9,7,Plates,Disneyland,Superfan,Stoic,Fair-weather,Soul
Robert Slayer,2,7,2,5,8,7,8,7,2,Office Environments,Bees,Superfan,Wise,Die-hard,Mind
Genius Yates,9,7,4,2,4,5,4,5,5,Wood,Grandfather,Superfan,Sage,Fair-weather,Body
Karen Shoelace,6,10,7,2,2,7,8,5,10,Nail Salons,3rd Base,Superfan,Romantic,Hardcore,Body
Plunger Cough,7,5,5,4,2,10,9,7,3,Witchcraft,Power,Superfan,Appreciative,Fair-weather,Body
Ingrid Kingdom,3,3,3,3,4,7,10,7,8,Fog,Teachers,Staff,Placid,Analyst,Mind
Adalbert Yates,3,6,8,6,8,7,5,2,3,Burps,Kangaroos,Player,Placid,Investigator,Soul
Samuel Alvarez,4,4,10,7,2,6,2,5,6,Electrocution,Cars,Superfan,Focused,Full kit wanker,Body
Raymond Robinson,9,7,9,1,3,6,6,7,9,Cracks,Attics,Player,Confident,Hype,Body
Ashley Winter,3,4,2,3,9,9,4,6,5,Guns,Laughing Gas,Superfan,Focused,There for the booze,Soul
Edward Glazing,10,5,10,1,3,6,9,2,10,Horses,Staplers,Superfan,Romantic,There for the booze,Body
Helen Philtrum,2,10,9,5,5,4,8,4,8,Windows,The Moon,Player,Focused,Hype,Body
Almas Banana,5,7,6,2,1,6,9,2,3,Fights,Soap,Player,Appreciative,Support,None
Windings Freed,7,7,2,8,6,3,3,10,8,Basilisks,Hawaiian Pizza,Superfan,Idealistic,Fair-weather,None
Maverick Ramirez,5,8,5,8,4,8,2,5,2,Candles,Laughing Gas,Superfan,Appreciative,Corporate guest,Soul
Amanda Slumgullion,6,2,6,5,4,3,9,9,6,Hot chocolate,Diet Soda,Staff,Romantic,Masseuse,Mind
Bishti Mendoza,8,8,7,5,4,1,4,4,3,Hypnosis,Gossip,Superfan,Passionate,Gambler,Body
Betty Sanchez,2,5,4,9,4,4,8,5,7,Gambling,Teachers,Player,Focused,General,Soul
Boudica Alphabet,8,2,2,6,8,8,8,8,6,Candles,Cognac,Staff,Wise,Columnist,Mind
Jemimah Senior,8,2,4,6,7,9,5,4,5,Improv Comedy,Cognac,Staff,Placid,Clickbaiter,None
Trish One,2,5,3,6,3,4,8,10,8,Taxes,Handwriting,Superfan,Placid,Fair-weather,None
Cristiano Flores,10,5,7,7,8,7,2,3,2,Insomnia,Thesaurus,Staff,Humorous,Waterperson,Soul
Pleasing Jaws,6,8,7,4,5,5,9,7,5,Guitar Strings,Mothers,Superfan,Appreciative,There for the booze,Body
Bashful Baby,1,2,2,9,5,8,5,3,2,Pillow Talk,Fairies,Staff,Sage,Data Analyst,Soul
Avi Ramirez,8,4,1,2,3,9,5,10,5,Plants,Holiday Smells,Superfan,Romantic,Die-hard,Mind
Brick Richardson,2,4,4,5,9,8,10,9,2,Diet Soda,Cleaning,Superfan,Humorous,Pessimist,Mind
Enormous Phillips,9,9,7,4,2,2,3,10,6,Submarines,Scotland,Player,Wise,Hype,Body
Understanding Hayfever,9,9,9,7,3,7,7,2,2,The Number 9,Dust,Superfan,Stoic,There for the booze,Soul
Zayd Jacaranda,8,8,6,9,10,8,8,9,8,Plants,Punctuality,Superfan,Idealistic,There for the booze,Mind
Pleasing Hanlon,6,8,4,3,8,8,9,5,6,Bright Lights,Sitcoms,Staff,Wise,Cook,Soul
Jack Skidmark,8,5,7,9,5,2,10,7,7,Rugs,Candles,Superfan,Romantic,Pessimist,Mind
Easton Momo,8,9,8,4,2,4,3,2,1,Lava Lamps,Flying,Superfan,Compassionate,Hardcore,Body
Revenue Luggage,2,2,6,6,7,10,3,8,4,VHS tapes,Flying,Superfan,Stoic,There for the booze,Soul
Christopher Coachman,10,1,7,9,9,7,2,6,2,Hate mail,Graffiti,Superfan,Placid,Corporate guest,Soul
Noun Aye-aye,2,2,1,3,3,9,4,3,7,The Letter 'S',Air Conditioning,Player,Romantic,General,Mind
Emmett Pet,9,5,5,3,9,6,2,4,5,Birds,Cigars,Superfan,Idealistic,Corporate guest,Soul
Any Chief,2,4,5,1,10,1,3,6,3,Calculus,Nightclubs,Superfan,Placid,Die-hard,None
Fingers Unit,4,1,9,8,2,6,5,7,5,Mirrors,Hit and Runs,Superfan,Placid,Hardcore,Soul
gm Armpit,7,7,5,9,6,4,8,8,7,Earthquakes,Snogging,Superfan,Appreciative,Pessimist,Mind
Spikey Crackle,4,1,6,10,9,6,7,7,9,Debt,Dentists,Player,Passionate,General,Mind
Ciel Conundrum,8,8,9,8,7,7,9,10,10,Soap,Gym,Superfan,Idealistic,Pessimist,Body
Scrawnie Morris,8,6,8,5,5,9,4,4,2,Bricks,Chainsmoking,Superfan,Confident,Gambler,Body
Bigbite Oyatsu,4,3,2,6,5,9,6,8,5,Windows,Confetti,Superfan,Humorous,Hardcore,None
Azza Bonds,4,1,5,8,8,7,2,5,7,Door Stops,Dumbells,Staff,Placid,Kit Manager,Soul
Brantley Slayer,7,1,3,4,6,9,4,3,1,Grass,Warmth,Player,Confident,Support,Soul
Cornelius Awolowo,2,3,5,9,3,9,6,4,9,Goats,Swimming Pools,Superfan,Humorous,Die-hard,Mind
Galactic Space Explorer Mountainous,10,10,6,1,5,3,4,6,4,Warm Weather,1AM,Player,Stoic,Investigator,Body
Coaster Dragon,9,7,10,3,4,3,3,3,7,Windows,Mattresses,Player,Passionate,Support,Body
Davian Dardar,5,7,9,1,3,2,4,8,5,Cuttlery,Catapults,Superfan,Romantic,Pessimist,Body
Mojo Capone,6,5,10,2,9,8,6,7,9,Oranges,Swimming Pools,Superfan,Stoic,Gambler,Mind
Emmett Baby,7,8,7,4,8,3,1,2,7,Prime Numbers,Pizza,Staff,Romantic,Mycologist,Body
Melissa Ozanne,3,3,6,7,7,2,4,6,8,NFTs,Construction,Superfan,Appreciative,Barstool,Mind
Slippery Van Winkle,8,9,6,7,6,2,10,8,4,Grass,Soldiers,Player,Passionate,Closer,Body
Wesley Cocque,8,8,5,8,5,8,6,1,1,EDM,Tree Sap,Staff,Placid,Yoga instructor,Soul
Freja Flinch,6,3,1,1,2,8,7,2,7,Carbohydrates,Bad Speling,Superfan,Appreciative,Barstool,Mind
Enormous Fonua,2,3,1,4,8,4,6,9,3,Plants,Halloween,Superfan,Romantic,There for the booze,Mind
Sheep Ogreson,4,8,5,6,3,2,9,3,3,Kilts,Body Spray,Player,Passionate,Investigator,Body
Magic String,5,1,4,6,4,9,7,7,10,Priests,Bracelets,Superfan,Sage,Pessimist,Mind
Greta Rogers,3,4,1,6,7,4,7,7,6,Feet,Custom Vans,Superfan,Idealistic,Scarf Guy,Mind
Gatlin Pedigrue,3,7,9,9,2,9,7,10,6,Toothbrushes,Pastrami,Superfan,Sage,Die-hard,Mind
Rocky Ironsi,5,4,4,8,4,4,9,8,9,Pigeons,Diet Soda,Superfan,Stoic,Fair-weather,Mind
Cleopatra Firebird,4,7,1,4,4,2,7,8,10,The Internet,Iron Gates,Player,Passionate,Investigator,Mind
Shoelace Facsimile,7,8,9,7,7,1,8,5,4,Dreadlocks,Soap,Superfan,Wise,There for the booze,Body
Easton Kim,8,8,8,7,4,7,9,10,9,Toothbrushes,Cheerleaders,Superfan,Innovative,Barstool,Mind
Eric Scrawnie,2,6,3,8,9,5,5,8,8,The Number 9,Gym,Superfan,Romantic,Barstool,Mind
Wigglebottom Flores,10,7,5,10,1,6,2,8,7,Manual Transmissions,Hope,Superfan,Humorous,Fair-weather,Body
Gatlin Bajwa,7,5,5,7,8,7,8,9,7,Sleep,Books,Player,Placid,Specialist,Mind
Fingers Mitchell,6,3,4,6,3,4,3,5,4,Sleep,Billboards,Player,Wise,Support,Soul
Sunshine Bennet,8,6,5,9,4,9,4,2,5,Eggs,Gossip,Superfan,Humorous,Fair-weather,Soul
Angela Lafitte,8,7,6,9,9,9,6,2,3,Milk,Charities,Superfan,Idealistic,There for the booze,Soul
Certain Misfortune Stewart,9,7,7,2,8,4,7,9,6,Pasta,Soap,Player,Humorous,General,Body
Sarah Pluto,8,3,4,2,4,3,8,8,8,Wood,Tuna,Player,Idealistic,Investigator,Body
Plug Wobbegong,6,8,2,9,6,9,2,4,4,Hate mail,Haircuts,Player,Confident,Hype,Soul
Lucifer Chavez,8,8,9,3,6,5,3,4,10,Gin,Boardgames,Superfan,Confident,Optimist,Body
Genesis Mystique,4,8,10,5,10,6,8,4,9,Manual Transmissions,Zoos,Player,Passionate,General,Soul
Vanilla Sialoquent,6,1,7,7,9,10,4,2,1,Midnight,Pilots,Superfan,Humorous,Pessimist,Soul
Unreal  Robinson,2,6,6,9,5,7,9,3,7,Barbers,Pancakes,Player,Wise,Closer,Mind
Shirley Boomer,2,6,8,8,8,8,5,3,1,Plastic,Sweat,Superfan,Modest,Corporate guest,Soul
Bashful The Not So Great,5,6,2,6,4,5,2,4,7,Prosthetic Limbs,Jewelery,Superfan,Placid,There for the booze,Soul
Bishti Pop-Three,8,5,7,7,6,7,9,8,9,Forks,Bad Speling,Superfan,Romantic,Corporate guest,Mind
Bashful Buttz,7,1,6,8,6,10,6,4,7,Fights,Elevators,Management,Confident,Director,Mind
